iter	Logloss
0	0.6523731024
1	0.6165946733
2	0.5829075858
3	0.5530660496
4	0.5268745961
5	0.5005444807
6	0.4798204147
7	0.4614724972
8	0.4456363788
9	0.4303859001
10	0.4180705276
11	0.4081472974
12	0.3970454425
13	0.3891483216
14	0.3808752423
15	0.3718456732
16	0.3641178721
17	0.3583630049
18	0.3521918674
19	0.3480395389
20	0.3436181418
21	0.339681448
22	0.335531571
23	0.3327206922
24	0.3303260115
25	0.3274955451
26	0.3254742301
27	0.3227026855
28	0.3209233136
29	0.3183065148
30	0.3167009224
31	0.3154064831
32	0.3137242208
33	0.3115696673
34	0.3099861838
35	0.3086559173
36	0.3075575795
37	0.3061107263
38	0.3053805253
39	0.3048746107
40	0.3037669281
41	0.303016254
42	0.3018907538
43	0.3012305508
44	0.3005611749
45	0.3002829813
46	0.2995435378
47	0.2987261396
48	0.2985654721
49	0.2981755958
50	0.2977453507
51	0.2974137231
52	0.2969552167
53	0.2962536707
54	0.2958751338
55	0.2958361231
56	0.2955704954
57	0.2952253653
58	0.2946853607
59	0.2945622287
60	0.2939473137
61	0.293928864
62	0.2935114467
63	0.2929843795
64	0.292495006
65	0.2922500989
66	0.2920151204
67	0.2915374236
68	0.291188811
69	0.2909624285
70	0.290793099
71	0.2905213627
72	0.2904303948
73	0.2902486291
74	0.2898727385
75	0.2897006551
76	0.2894515523
77	0.2893581362
78	0.2891293894
79	0.288812121
80	0.2886963226
81	0.288358472
82	0.2881909203
83	0.2879423012
84	0.2877318028
85	0.2876158194
86	0.2874197816
87	0.2873507781
88	0.2872052407
89	0.2870808146
90	0.2869882943
91	0.2868334927
92	0.2867138016
93	0.2866622754
94	0.2865764445
95	0.2863743954
96	0.286203624
97	0.2861202451
98	0.2859900861
99	0.2858563798
100	0.2857995793
101	0.2857404685
102	0.2856477861
103	0.2854707122
104	0.2853590742
105	0.2853423647
106	0.2853152841
107	0.2852216403
108	0.2851824428
109	0.2851695156
110	0.285126276
111	0.2850459419
112	0.2850231213
113	0.2848166051
114	0.2847237599
115	0.2846626713
116	0.2846104553
117	0.284604949
118	0.2846049485
119	0.2845482024
120	0.284478619
121	0.284406873
122	0.2843812534
123	0.2843236871
124	0.284193073
125	0.2841469575
126	0.2840702459
127	0.2839783588
128	0.2838722641
129	0.2838245456
130	0.2837828944
131	0.2837214892
132	0.2837109249
133	0.2834931945
134	0.2833814505
135	0.2832244953
136	0.2831876826
137	0.2831860325
138	0.2831860228
139	0.2831454105
140	0.2830750943
141	0.2830484618
142	0.2830160677
143	0.2829721859
144	0.2829051022
145	0.28285685
146	0.2828162738
147	0.2827557921
148	0.2827325839
149	0.2826454099
