iter	Passed	Remaining
0	43	43257
1	56	28260
2	84	28001
3	114	28594
4	130	25960
5	139	23177
6	170	24181
7	197	24434
8	224	24706
9	246	24445
10	273	24623
11	287	23648
12	303	23043
13	314	22183
14	340	22340
15	363	22377
16	388	22440
17	404	22041
18	409	21166
19	441	21629
20	470	21940
21	476	21183
22	486	20673
23	510	20763
24	536	20935
25	560	20998
26	587	21173
27	613	21306
28	641	21477
29	668	21620
30	697	21816
31	705	21336
32	731	21421
33	737	20960
34	762	21034
35	789	21152
36	815	21227
37	843	21341
38	870	21443
39	896	21527
40	923	21599
41	952	21717
42	976	21742
43	981	21327
44	1008	21402
45	1034	21458
46	1063	21571
47	1089	21599
48	1093	21228
49	1120	21291
50	1145	21312
51	1150	20975
52	1176	21020
53	1202	21060
54	1229	21120
55	1254	21148
56	1282	21214
57	1311	21298
58	1337	21331
59	1363	21362
60	1371	21107
61	1397	21135
62	1424	21185
63	1455	21281
64	1483	21345
65	1511	21391
66	1539	21431
67	1568	21494
68	1596	21537
69	1623	21568
70	1649	21578
71	1657	21364
72	1683	21382
73	1709	21390
74	1740	21469
75	1767	21492
76	1795	21520
77	1824	21565
78	1855	21626
79	1886	21689
80	1914	21721
81	1946	21791
82	1976	21835
83	1983	21628
84	2011	21647
85	2040	21682
86	2066	21690
87	2073	21491
88	2099	21490
89	2124	21479
90	2149	21470
91	2178	21505
92	2207	21532
93	2235	21546
94	2260	21532
95	2289	21561
96	2317	21573
97	2344	21581
98	2371	21587
99	2399	21592
100	2424	21583
101	2451	21585
102	2476	21570
103	2505	21587
104	2534	21604
105	2560	21598
106	2566	21421
107	2592	21409
108	2617	21398
109	2643	21384
110	2668	21371
111	2701	21417
112	2728	21418
113	2757	21429
114	2784	21428
115	2808	21404
116	2834	21390
117	2861	21386
118	2887	21373
119	2914	21373
120	2942	21375
121	2947	21214
122	2971	21184
123	2982	21070
124	3008	21062
125	3022	20966
126	3030	20830
127	3056	20820
128	3086	20838
129	3113	20838
130	3140	20832
131	3167	20827
132	3192	20811
133	3198	20668
134	3224	20658
135	3243	20603
136	3268	20591
137	3296	20592
138	3302	20459
139	3329	20455
140	3356	20449
141	3385	20456
142	3413	20458
143	3443	20467
144	3470	20461
145	3495	20444
146	3521	20432
147	3547	20419
148	3575	20420
149	3604	20423
150	3629	20404
151	3656	20399
152	3684	20396
153	3713	20398
154	3727	20320
155	3754	20310
156	3782	20307
157	3796	20232
158	3821	20215
159	3849	20210
160	3879	20217
161	3908	20217
162	3934	20203
163	3941	20092
164	3966	20072
165	3991	20051
166	4018	20042
167	4023	19927
168	4048	19905
169	4053	19790
170	4057	19671
171	4084	19661
172	4109	19644
173	4134	19627
174	4165	19637
175	4198	19655
176	4204	19551
177	4236	19564
178	4268	19576
179	4297	19576
180	4325	19571
181	4351	19556
182	4379	19554
183	4407	19548
184	4434	19536
185	4440	19434
186	4466	19417
187	4493	19406
188	4518	19388
189	4544	19374
190	4571	19364
191	4597	19349
192	4618	19313
193	4622	19204
194	4648	19188
195	4675	19180
196	4703	19170
197	4729	19158
198	4758	19153
199	4785	19141
200	4791	19047
201	4802	18972
202	4836	18987
203	4863	18976
204	4888	18958
205	4914	18941
206	4939	18924
207	4965	18908
208	4993	18900
209	5020	18888
210	5044	18863
211	5051	18777
212	5078	18762
213	5088	18691
214	5115	18676
215	5150	18694
216	5177	18680
217	5185	18600
218	5210	18583
219	5238	18572
220	5265	18562
221	5293	18549
222	5316	18524
223	5340	18500
224	5363	18474
225	5386	18448
226	5411	18427
227	5437	18410
228	5461	18389
229	5487	18369
230	5513	18355
231	5541	18345
232	5565	18321
233	5588	18292
234	5611	18268
235	5637	18249
236	5661	18227
237	5686	18207
238	5713	18192
239	5739	18175
240	5766	18159
241	5793	18145
242	5818	18125
243	5843	18105
244	5866	18077
245	5891	18058
246	5916	18038
247	5942	18019
248	5966	17996
249	5992	17976
250	6015	17951
251	6042	17934
252	6067	17916
253	6092	17893
254	6116	17870
255	6141	17847
256	6166	17826
257	6188	17798
258	6212	17774
259	6234	17744
260	6261	17728
261	6287	17710
262	6313	17690
263	6339	17674
264	6366	17656
265	6392	17638
266	6419	17623
267	6445	17603
268	6472	17589
269	6497	17567
270	6519	17538
